Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
37047,20090813:0900,6.0,24,0.5,24,-,-,-,-,-,D
37047,20090814:0900,6.1,24,0.1,24,-,-,-,-,-,D
37047,20090815:0900,8.5,24,0.0,24,-,-,-,-,-,D
37047,20090816:0900,9.5,24,0.2,24,-,-,-,-,-,D
37047,20090817:0900,9.0,24,-3.4,24,-,-,-,-,-,D
37047,20090818:0900,10.2,24,-1.9,24,-,-,-,-,-,D
37047,20090819:0900,7.6,24,-3.0,24,-,-,-,-,-,D
37047,20090820:0900,8.9,24,-2.7,24,-,-,-,-,-,D
37047,20090821:0900,6.9,24,-4.7,24,-,-,-,-,-,D
37047,20090822:0900,6.1,24,-3.0,24,-,-,-,-,-,D
37047,20090823:0900,9.1,24,0.1,24,-,-,-,-,-,D
37047,20090824:0900,7.9,24,-4.0,24,-,-,-,-,-,D
37047,20090825:0900,10.5,24,-2.4,24,-,-,-,-,-,D
37047,20090826:0900,8.1,24,2.5,24,-,-,-,-,-,D
37047,20090827:0900,5.7,24,0.2,24,-,-,-,-,-,D
37047,20090828:0900,5.6,24,0.5,24,-,-,-,-,-,D
37047,20090829:0900,5.1,24,0.4,24,-,-,-,-,-,D
37047,20090830:0900,6.0,24,2.1,24,-,-,-,-,-,D
37047,20090831:0900,7.2,24,-0.3,24,-,-,-,-,-,D
37047,20090901:0900,3.3,24,0.0,24,-,-,-,-,-,D
37047,20090902:0900,1.9,24,-1.3,24,-,-,-,-,-,D
37047,20090903:0900,1.3,24,-6.8,24,-,-,-,-,-,D
37047,20090904:0900,2.3,24,-7.2,24,-,-,-,-,-,D
37047,20090905:0900,6.2,24,-3.8,24,-,-,-,-,-,D
37047,20090906:0900,7.9,24,-4.0,24,-,-,-,-,-,D
37047,20090907:0900,6.9,24,1.3,24,-,-,-,-,-,D
37047,20090908:0900,10.8,24,2.9,24,-,-,-,-,-,D
37047,20090909:0900,8.6,24,1.1,24,-,-,-,-,-,D
37047,20090910:0900,8.4,24,0.4,24,-,-,-,-,-,D
37047,20090911:0900,12.0,24,4.3,24,-,-,-,-,-,D
37047,20090912:0900,8.4,24,2.5,24,-,-,-,-,-,D
37047,20090913:0900,9.1,24,2.5,24,-,-,-,-,-,D
37047,20090914:0900,12.8,24,5.7,24,-,-,-,-,-,D
37047,20090915:0900,12.9,24,1.0,24,-,-,-,-,-,D
37047,20090916:0900,8.3,24,-0.3,24,-,-,-,-,-,D
37047,20090917:0900,5.9,24,0.0,24,-,-,-,-,-,D
37047,20090918:0900,9.6,24,4.3,24,-,-,-,-,-,D
37047,20090919:0900,11.1,24,-2.8,24,-,-,-,-,-,D
37047,20090920:0900,14.8,24,-0.4,24,-,-,-,-,-,D
37047,20090921:0900,12.8,24,3.5,24,-,-,-,-,-,D
37047,20090922:0900,6.7,24,0.2,24,-,-,-,-,-,D
37047,20090923:0900,6.2,24,-2.2,24,-,-,-,-,-,D
37047,20090924:0900,3.2,24,-3.2,24,-,-,-,-,-,D
37047,20090925:0900,3.9,24,-2.7,24,-,-,-,-,-,D
37047,20090926:0900,5.5,24,-0.2,24,-,-,-,-,-,D
37047,20090927:0800,9.7,24,-1.0,24,-,-,-,-,-,D
37047,20090928:0800,8.1,24,0.4,24,-,-,-,-,-,D
37047,20090929:0800,7.9,24,2.8,24,-,-,-,-,-,D
37047,20090930:0800,9.1,24,2.7,24,-,-,-,-,-,D
37047,20091001:0800,8.7,24,-1.2,24,-,-,-,-,-,D
37047,20091002:0800,10.7,24,0.7,24,-,-,-,-,-,D
37047,20091003:0800,5.5,24,-1.2,24,-,-,-,-,-,D
